"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"76","GO:0045629","negative regulation of T-helper 2 cell differentiation",6,6,6,"0.00341"
"77","GO:0006267","pre-replicative complex assembly involved in nuclear cell cycle DNA replication",8,8,8,"0.00346"
"78","GO:0006958","complement activation, classical pathway",33,33,33,"0.00356"
"79","GO:0045040","protein insertion into mitochondrial outer membrane",5,5,5,"0.00357"
"80","GO:0070098","chemokine-mediated signaling pathway",32,32,32,"0.00358"
"81","GO:0071376","cellular response to corticotropin-releasing hormone stimulus",3,3,3,"0.00362"
"82","GO:0001937","negative regulation of endothelial cell proliferation",29,29,29,"0.00363"
"83","GO:0010951","negative regulation of endopeptidase activity",99,99,99,"0.00374"
"84","GO:0042551","neuron maturation",34,34,34,"0.00378"
"85","GO:0060760","positive regulation of response to cytokine stimulus",46,46,46,"0.00384"
"86","GO:0006406","mRNA export from nucleus",48,48,48,"0.00397"
"87","GO:2000353","positive regulation of endothelial cell apoptotic process",18,18,18,"0.00401"
"88","GO:0038092","nodal signaling pathway",10,10,10,"0.00403"
"89","GO:0006805","xenobiotic metabolic process",40,40,40,"0.00412"
"90","GO:0045786","negative regulation of cell cycle",383,383,383,"0.00420"
"91","GO:0030336","negative regulation of cell migration",198,198,198,"0.00431"
"92","GO:0035235","ionotropic glutamate receptor signaling pathway",11,11,11,"0.00437"
"93","GO:0002544","chronic inflammatory response",15,15,15,"0.00441"
"94","GO:0001961","positive regulation of cytokine-mediated signaling pathway",40,40,40,"0.00441"
"95","GO:1901385","regulation of voltage-gated calcium channel activity",22,22,22,"0.00452"
"96","GO:0046928","regulation of neurotransmitter secretion",83,83,83,"0.00456"
"97","GO:0033602","negative regulation of dopamine secretion",5,5,5,"0.00463"
"98","GO:0002408","myeloid dendritic cell chemotaxis",3,3,3,"0.00475"
"99","GO:0042130","negative regulation of T cell proliferation",54,54,54,"0.00477"
"100","GO:0030279","negative regulation of ossification",59,59,59,"0.00479"
"101","GO:0060385","axonogenesis involved in innervation",3,3,3,"0.00481"
"102","GO:0007186","G protein-coupled receptor signaling pathway",371,371,371,"0.00484"
"103","GO:0006268","DNA unwinding involved in DNA replication",15,15,15,"0.00491"
"104","GO:0016477","cell migration",1079,1079,1079,"0.00493"
"105","GO:0019430","removal of superoxide radicals",16,16,16,"0.00512"
"106","GO:0050869","negative regulation of B cell activation",33,33,33,"0.00513"
"107","GO:0061042","vascular wound healing",12,12,12,"0.00522"
"108","GO:0050663","cytokine secretion",58,58,58,"0.00525"
"109","GO:0060065","uterus development",13,13,13,"0.00532"
"110","GO:0007179","transforming growth factor beta receptor signaling pathway",131,131,131,"0.00536"
"111","GO:0050680","negative regulation of epithelial cell proliferation",99,99,99,"0.00540"
"112","GO:0010628","positive regulation of gene expression",1730,1730,1730,"0.00549"
"113","GO:0046598","positive regulation of viral entry into host cell",8,8,8,"0.00563"
"114","GO:0030853","negative regulation of granulocyte differentiation",9,9,9,"0.00565"
"115","GO:0045063","T-helper 1 cell differentiation",20,20,20,"0.00571"
"116","GO:0032703","negative regulation of interleukin-2 production",22,22,22,"0.00572"
"117","GO:0019371","cyclooxygenase pathway",3,3,3,"0.00572"
"118","GO:0051383","kinetochore organization",21,21,21,"0.00601"
"119","GO:0043032","positive regulation of macrophage activation",22,22,22,"0.00602"
"120","GO:0048387","negative regulation of retinoic acid receptor signaling pathway",6,6,6,"0.00603"
"121","GO:0042267","natural killer cell mediated cytotoxicity",42,42,42,"0.00607"
"122","GO:0007018","microtubule-based movement",262,262,262,"0.00618"
"123","GO:0043434","response to peptide hormone",244,244,244,"0.00622"
"124","GO:0050852","T cell receptor signaling pathway",103,103,103,"0.00627"
"125","GO:0051106","positive regulation of DNA ligation",4,4,4,"0.00633"
"126","GO:0002486","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",9,9,9,"0.00647"
"127","GO:0001780","neutrophil homeostasis",26,26,26,"0.00650"
"128","GO:0006999","nuclear pore organization",14,14,14,"0.00654"
"129","GO:0045638","negative regulation of myeloid cell differentiation",83,83,83,"0.00662"
"130","GO:0042127","regulation of cell population proliferation",1178,1178,1178,"0.00663"
"131","GO:0032693","negative regulation of interleukin-10 production",16,16,16,"0.00669"
"132","GO:0006952","defense response",1076,1076,1076,"0.00680"
"133","GO:0046039","GTP metabolic process",23,23,23,"0.00683"
"134","GO:0035019","somatic stem cell population maintenance",37,37,37,"0.00696"
"135","GO:0050868","negative regulation of T cell activation",96,96,96,"0.00705"
"136","GO:0045627","positive regulation of T-helper 1 cell differentiation",7,7,7,"0.00709"
"137","GO:0050727","regulation of inflammatory response",280,280,280,"0.00711"
"138","GO:0016202","regulation of striated muscle tissue development",113,113,113,"0.00735"
"139","GO:1902462","positive regulation of mesenchymal stem cell proliferation",4,4,4,"0.00741"
"140","GO:0002719","negative regulation of cytokine production involved in immune response",18,18,18,"0.00743"
"141","GO:0051984","positive regulation of chromosome segregation",32,32,32,"0.00758"
"142","GO:0098532","histone H3-K27 trimethylation",9,9,9,"0.00776"
"143","GO:0003149","membranous septum morphogenesis",6,6,6,"0.00788"
"144","GO:0098761","cellular response to interleukin-7",17,17,17,"0.00793"
"145","GO:1900744","regulation of p38MAPK cascade",36,36,36,"0.00830"
"146","GO:0035025","positive regulation of Rho protein signal transduction",27,27,27,"0.00849"
"147","GO:0010800","positive regulation of peptidyl-threonine phosphorylation",25,25,25,"0.00860"
"148","GO:0044691","tooth eruption",3,3,3,"0.00868"
"149","GO:0045060","negative thymic T cell selection",12,12,12,"0.00875"
"150","GO:0007160","cell-matrix adhesion",163,163,163,"0.00890"
"151","GO:0006955","immune response",1049,1049,1049,"0.00900"
"152","GO:0042270","protection from natural killer cell mediated cytotoxicity",6,6,6,"0.00976"
"153","GO:0070129","regulation of mitochondrial translation",26,26,26,"0.00982"
"154","GO:0008585","female gonad development",74,74,74,"0.00988"
"155","GO:0060395","SMAD protein signal transduction",57,57,57,"0.01000"
"156","GO:0046033","AMP metabolic process",14,14,14,"0.01001"
"157","GO:0031936","negative regulation of chromatin silencing",10,10,10,"0.01003"
"158","GO:0044351","macropinocytosis",9,9,9,"0.01006"
"159","GO:0050918","positive chemotaxis",28,28,28,"0.01024"
"160","GO:0045541","negative regulation of cholesterol biosynthetic process",4,4,4,"0.01024"
"161","GO:0019244","lactate biosynthetic process from pyruvate",4,4,4,"0.01041"
"162","GO:0060045","positive regulation of cardiac muscle cell proliferation",14,14,14,"0.01047"
"163","GO:0051292","nuclear pore complex assembly",9,9,9,"0.01057"
"164","GO:0060907","positive regulation of macrophage cytokine production",9,9,9,"0.01062"
"165","GO:0071361","cellular response to ethanol",5,5,5,"0.01073"
"166","GO:2000272","negative regulation of signaling receptor activity",23,23,23,"0.01074"
"167","GO:0045785","positive regulation of cell adhesion",360,360,360,"0.01081"
"168","GO:0048711","positive regulation of astrocyte differentiation",12,12,12,"0.01088"
"169","GO:0150012","positive regulation of neuron projection arborization",5,5,5,"0.01090"
"170","GO:0000056","ribosomal small subunit export from nucleus",7,7,7,"0.01102"
"171","GO:0044772","mitotic cell cycle phase transition",334,334,334,"0.01103"
"172","GO:2000556","positive regulation of T-helper 1 cell cytokine production",6,6,6,"0.01106"
"173","GO:0097011","cellular response to granulocyte macrophage colony-stimulating factor stimulus",10,10,10,"0.01114"
"174","GO:2000249","regulation of actin cytoskeleton reorganization",33,33,33,"0.01115"
"175","GO:0006110","regulation of glycolytic process",39,39,39,"0.01131"
"176","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I",9,9,9,"0.01133"
"177","GO:0033138","positive regulation of peptidyl-serine phosphorylation",74,74,74,"0.01135"
"178","GO:0010594","regulation of endothelial cell migration",119,119,119,"0.01137"
"179","GO:0060253","negative regulation of glial cell proliferation",11,11,11,"0.01139"
"180","GO:0014065","phosphatidylinositol 3-kinase signaling",94,94,94,"0.01140"
"181","GO:0042113","B cell activation",240,240,240,"0.01143"
"182","GO:0098586","cellular response to virus",49,49,49,"0.01164"
"183","GO:0106077","histone succinylation",4,4,4,"0.01165"
"184","GO:0002729","positive regulation of natural killer cell cytokine production",5,5,5,"0.01179"
"185","GO:0051135","positive regulation of NK T cell activation",5,5,5,"0.01181"
"186","GO:0035711","T-helper 1 cell activation",4,4,4,"0.01183"
"187","GO:0006325","chromatin organization",672,672,672,"0.01193"
"188","GO:0045930","negative regulation of mitotic cell cycle",204,204,204,"0.01221"
"189","GO:0000727","double-strand break repair via break-induced replication",12,12,12,"0.01222"
"190","GO:0051315","attachment of mitotic spindle microtubules to kinetochore",14,14,14,"0.01260"
"191","GO:0001974","blood vessel remodeling",36,36,36,"0.01271"
"192","GO:2000271","positive regulation of fibroblast apoptotic process",6,6,6,"0.01272"
"193","GO:0030574","collagen catabolic process",23,23,23,"0.01273"
"194","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",63,63,63,"0.01274"
"195","GO:1900747","negative regulation of vascular endothelial growth factor signaling pathway",5,5,5,"0.01283"
"196","GO:0075525","viral translational termination-reinitiation",5,5,5,"0.01286"
"197","GO:0007015","actin filament organization",353,353,353,"0.01296"
"198","GO:0023019","signal transduction involved in regulation of gene expression",8,8,8,"0.01296"
"199","GO:2000318","positive regulation of T-helper 17 type immune response",7,7,7,"0.01299"
"200","GO:1903980","positive regulation of microglial cell activation",5,5,5,"0.01312"
"201","GO:0000910","cytokinesis",142,142,142,"0.01324"
"202","GO:0035457","cellular response to interferon-alpha",12,12,12,"0.01365"
"203","GO:0014850","response to muscle activity",8,8,8,"0.01371"
"204","GO:0007569","cell aging",90,90,90,"0.01411"
"205","GO:0050755","chemokine metabolic process",3,3,3,"0.01420"
"206","GO:0043029","T cell homeostasis",41,41,41,"0.01424"
"207","GO:0008284","positive regulation of cell population proliferation",679,679,679,"0.01441"
"208","GO:0010032","meiotic chromosome condensation",7,7,7,"0.01457"
"209","GO:2000811","negative regulation of anoikis",12,12,12,"0.01465"
"210","GO:0051930","regulation of sensory perception of pain",28,28,28,"0.01465"
"211","GO:0045089","positive regulation of innate immune response",93,93,93,"0.01472"
"212","GO:0002260","lymphocyte homeostasis",71,71,71,"0.01472"
"213","GO:0002755","MyD88-dependent toll-like receptor signaling pathway",19,19,19,"0.01477"
"214","GO:0006968","cellular defense response",11,11,11,"0.01479"
"215","GO:0045429","positive regulation of nitric oxide biosynthetic process",38,38,38,"0.01481"
"216","GO:0006919","activation of cysteine-type endopeptidase activity involved in apoptotic process",64,64,64,"0.01494"
"217","GO:0021955","central nervous system neuron axonogenesis",32,32,32,"0.01503"
"218","GO:0016525","negative regulation of angiogenesis",85,85,85,"0.01510"
"219","GO:0030888","regulation of B cell proliferation",63,63,63,"0.01517"
"220","GO:2000504","positive regulation of blood vessel remodeling",3,3,3,"0.01518"
"221","GO:0060087","relaxation of vascular associated smooth muscle",6,6,6,"0.01523"
"222","GO:0030854","positive regulation of granulocyte differentiation",8,8,8,"0.01524"
"223","GO:0042776","mitochondrial ATP synthesis coupled proton transport",17,17,17,"0.01533"
"224","GO:0045069","regulation of viral genome replication",84,84,84,"0.01546"
"225","GO:0061309","cardiac neural crest cell development involved in outflow tract morphogenesis",6,6,6,"0.01553"
"226","GO:0045603","positive regulation of endothelial cell differentiation",12,12,12,"0.01576"
"227","GO:1902975","mitotic DNA replication initiation",5,5,5,"0.01610"
"228","GO:0045061","thymic T cell selection",23,23,23,"0.01611"
"229","GO:0051290","protein heterotetramerization",11,11,11,"0.01611"
"230","GO:0032680","regulation of tumor necrosis factor production",104,104,104,"0.01622"
"231","GO:0015718","monocarboxylic acid transport",101,101,101,"0.01625"
"232","GO:0051256","mitotic spindle midzone assembly",6,6,6,"0.01641"
"233","GO:0110091","negative regulation of hippocampal neuron apoptotic process",3,3,3,"0.01649"
"234","GO:0032930","positive regulation of superoxide anion generation",18,18,18,"0.01659"
"235","GO:0071257","cellular response to electrical stimulus",7,7,7,"0.01684"
"236","GO:1902947","regulation of tau-protein kinase activity",11,11,11,"0.01736"
"237","GO:0060665","regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling",3,3,3,"0.01739"
"238","GO:1902262","apoptotic process involved in blood vessel morphogenesis",5,5,5,"0.01753"
"239","GO:0032959","inositol trisphosphate biosynthetic process",8,8,8,"0.01759"
"240","GO:0035335","peptidyl-tyrosine dephosphorylation",31,31,31,"0.01761"
"241","GO:0048541","Peyer's patch development",10,10,10,"0.01762"
"242","GO:1901386","negative regulation of voltage-gated calcium channel activity",8,8,8,"0.01774"
"243","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway",75,75,75,"0.01781"
"244","GO:0002476","antigen processing and presentation of endogenous peptide antigen via MHC class Ib",10,10,10,"0.01791"
"245","GO:0071346","cellular response to interferon-gamma",86,86,86,"0.01799"
"246","GO:0035556","intracellular signal transduction",1884,1884,1884,"0.01805"
"247","GO:0048146","positive regulation of fibroblast proliferation",52,52,52,"0.01839"
"248","GO:0008150","biological_process",12882,12882,12882,"0.01842"
"249","GO:1900454","positive regulation of long-term synaptic depression",4,4,4,"0.01857"
"250","GO:0060161","positive regulation of dopamine receptor signaling pathway",4,4,4,"0.01861"
"251","GO:0060762","regulation of branching involved in mammary gland duct morphogenesis",3,3,3,"0.01867"
"252","GO:0002344","B cell affinity maturation",3,3,3,"0.01901"
"253","GO:0034447","very-low-density lipoprotein particle clearance",5,5,5,"0.01902"
"254","GO:0006364","rRNA processing",197,197,197,"0.01907"
"255","GO:2001256","regulation of store-operated calcium entry",11,11,11,"0.01912"
"256","GO:0007204","positive regulation of cytosolic calcium ion concentration",191,191,191,"0.01929"
"257","GO:0035066","positive regulation of histone acetylation",29,29,29,"0.01942"
"258","GO:0032755","positive regulation of interleukin-6 production",82,82,82,"0.01944"
"259","GO:0071307","cellular response to vitamin K",2,2,2,"0.01946"
"260","GO:0000132","establishment of mitotic spindle orientation",27,27,27,"0.01949"
"261","GO:0042474","middle ear morphogenesis",11,11,11,"0.01974"
"262","GO:0002376","immune system process",1880,1880,1880,"0.01975"
"263","GO:0042063","gliogenesis",241,241,241,"0.01989"
"264","GO:0030168","platelet activation",70,70,70,"0.01991"
"265","GO:0090179","planar cell polarity pathway involved in neural tube closure",9,9,9,"0.02000"
"266","GO:0060396","growth hormone receptor signaling pathway",14,14,14,"0.02009"
"267","GO:2000562","negative regulation of CD4-positive, alpha-beta T cell proliferation",8,8,8,"0.02011"
"268","GO:0035690","cellular response to drug",42,42,42,"0.02016"
"269","GO:0061885","positive regulation of mini excitatory postsynaptic potential",2,2,2,"0.02019"
"270","GO:0032620","interleukin-17 production",35,35,35,"0.02028"
"271","GO:0030502","negative regulation of bone mineralization",12,12,12,"0.02032"
"272","GO:0033004","negative regulation of mast cell activation",9,9,9,"0.02039"
"273","GO:0007605","sensory perception of sound",90,90,90,"0.02039"
"274","GO:0045986","negative regulation of smooth muscle contraction",15,15,15,"0.02040"
"275","GO:2000045","regulation of G1/S transition of mitotic cell cycle",99,99,99,"0.02043"
"276","GO:2001199","negative regulation of dendritic cell differentiation",4,4,4,"0.02064"
"277","GO:0051702","interaction with symbiont",69,69,69,"0.02077"
"278","GO:1903753","negative regulation of p38MAPK cascade",7,7,7,"0.02086"
"279","GO:0060968","regulation of gene silencing",68,68,68,"0.02103"
"280","GO:0060670","branching involved in labyrinthine layer morphogenesis",8,8,8,"0.02105"
"281","GO:0034389","lipid droplet organization",19,19,19,"0.02113"
"282","GO:2001140","positive regulation of phospholipid transport",8,8,8,"0.02118"
"283","GO:0035425","autocrine signaling",7,7,7,"0.02124"
"284","GO:0060674","placenta blood vessel development",30,30,30,"0.02144"
"285","GO:0051450","myoblast proliferation",13,13,13,"0.02148"
"286","GO:0043375","CD8-positive, alpha-beta T cell lineage commitment",2,2,2,"0.02155"
"287","GO:0007346","regulation of mitotic cell cycle",426,426,426,"0.02178"
"288","GO:0032651","regulation of interleukin-1 beta production",64,64,64,"0.02215"
"289","GO:0043588","skin development",159,159,159,"0.02217"
"290","GO:0002467","germinal center formation",15,15,15,"0.02237"
"291","GO:1905618","positive regulation of miRNA mediated inhibition of translation",3,3,3,"0.02237"
"292","GO:0034374","low-density lipoprotein particle remodeling",7,7,7,"0.02248"
"293","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation",134,134,134,"0.02249"
"294","GO:0043547","positive regulation of GTPase activity",177,177,177,"0.02270"
"295","GO:0050729","positive regulation of inflammatory response",116,116,116,"0.02271"
"296","GO:1901666","positive regulation of NAD+ ADP-ribosyltransferase activity",3,3,3,"0.02284"
"297","GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling",42,42,42,"0.02343"
"298","GO:0045597","positive regulation of cell differentiation",806,806,806,"0.02347"
"299","GO:1990182","exosomal secretion",19,19,19,"0.02349"
"300","GO:0010559","regulation of glycoprotein biosynthetic process",36,36,36,"0.02382"
"301","GO:0035854","eosinophil fate commitment",2,2,2,"0.02383"
"302","GO:1902216","positive regulation of interleukin-4-mediated signaling pathway",2,2,2,"0.02386"
"303","GO:1990414","replication-born double-strand break repair via sister chromatid exchange",8,8,8,"0.02389"
"304","GO:0001778","plasma membrane repair",7,7,7,"0.02392"
"305","GO:2000473","positive regulation of hematopoietic stem cell migration",2,2,2,"0.02396"
"306","GO:0046599","regulation of centriole replication",22,22,22,"0.02408"
"307","GO:0002523","leukocyte migration involved in inflammatory response",22,22,22,"0.02429"
"308","GO:0051968","positive regulation of synaptic transmission, glutamatergic",17,17,17,"0.02430"
"309","GO:0032700","negative regulation of interleukin-17 production",17,17,17,"0.02430"
"310","GO:0035115","embryonic forelimb morphogenesis",12,12,12,"0.02437"
"311","GO:1905517","macrophage migration",48,48,48,"0.02441"
"312","GO:0042391","regulation of membrane potential",250,250,250,"0.02447"
"313","GO:0001732","formation of cytoplasmic translation initiation complex",4,4,4,"0.02448"
"314","GO:0043069","negative regulation of programmed cell death",695,695,695,"0.02476"
"315","GO:0019276","UDP-N-acetylgalactosamine metabolic process",4,4,4,"0.02487"
"316","GO:0008285","negative regulation of cell population proliferation",490,490,490,"0.02491"
"317","GO:0007528","neuromuscular junction development",39,39,39,"0.02506"
"318","GO:0070327","thyroid hormone transport",4,4,4,"0.02506"
"319","GO:0010629","negative regulation of gene expression",1558,1558,1558,"0.02507"
"320","GO:1902336","positive regulation of retinal ganglion cell axon guidance",2,2,2,"0.02509"
"321","GO:0097475","motor neuron migration",3,3,3,"0.02509"
"322","GO:0042306","regulation of protein import into nucleus",65,65,65,"0.02515"
"323","GO:0019732","antifungal humoral response",5,5,5,"0.02543"
"324","GO:0033137","negative regulation of peptidyl-serine phosphorylation",25,25,25,"0.02566"
"325","GO:0010936","negative regulation of macrophage cytokine production",4,4,4,"0.02581"
"326","GO:0010751","negative regulation of nitric oxide mediated signal transduction",2,2,2,"0.02583"
"327","GO:0002830","positive regulation of type 2 immune response",13,13,13,"0.02583"
"328","GO:0045747","positive regulation of Notch signaling pathway",32,32,32,"0.02595"
"329","GO:1904851","positive regulation of establishment of protein localization to telomere",10,10,10,"0.02602"
"330","GO:0031394","positive regulation of prostaglandin biosynthetic process",6,6,6,"0.02616"
"331","GO:0070935","3'-UTR-mediated mRNA stabilization",19,19,19,"0.02659"
"332","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway",53,53,53,"0.02665"
"333","GO:0045088","regulation of innate immune response",151,151,151,"0.02667"
"334","GO:0034115","negative regulation of heterotypic cell-cell adhesion",9,9,9,"0.02669"
"335","GO:0032728","positive regulation of interferon-beta production",34,34,34,"0.02680"
"336","GO:0071711","basement membrane organization",21,21,21,"0.02689"
"337","GO:0006270","DNA replication initiation",31,31,31,"0.02689"
"338","GO:0042981","regulation of apoptotic process",1155,1155,1155,"0.02706"
"339","GO:0046596","regulation of viral entry into host cell",39,39,39,"0.02724"
"340","GO:0055072","iron ion homeostasis",64,64,64,"0.02737"
"341","GO:0046813","receptor-mediated virion attachment to host cell",2,2,2,"0.02753"
"342","GO:0038171","cannabinoid signaling pathway",6,6,6,"0.02757"
"343","GO:0030866","cortical actin cytoskeleton organization",36,36,36,"0.02776"
"344","GO:0003300","cardiac muscle hypertrophy",72,72,72,"0.02802"
"345","GO:2000648","positive regulation of stem cell proliferation",37,37,37,"0.02805"
"346","GO:0048769","sarcomerogenesis",2,2,2,"0.02815"
"347","GO:0019441","tryptophan catabolic process to kynurenine",2,2,2,"0.02818"
"348","GO:0045926","negative regulation of growth",193,193,193,"0.02837"
"349","GO:0022898","regulation of transmembrane transporter activity",173,173,173,"0.02837"
"350","GO:0002291","T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell",7,7,7,"0.02841"
"351","GO:0044406","adhesion of symbiont to host",12,12,12,"0.02841"
"352","GO:0030850","prostate gland development",32,32,32,"0.02851"
"353","GO:0033209","tumor necrosis factor-mediated signaling pathway",58,58,58,"0.02869"
"354","GO:0002158","osteoclast proliferation",4,4,4,"0.02870"
"355","GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein",40,40,40,"0.02919"
"356","GO:0030522","intracellular receptor signaling pathway",167,167,167,"0.02922"
"357","GO:1904646","cellular response to amyloid-beta",31,31,31,"0.02925"
"358","GO:0019221","cytokine-mediated signaling pathway",271,271,271,"0.02933"
"359","GO:0048247","lymphocyte chemotaxis",34,34,34,"0.02936"
"360","GO:0010634","positive regulation of epithelial cell migration",116,116,116,"0.02948"
"361","GO:0045582","positive regulation of T cell differentiation",89,89,89,"0.02970"
"362","GO:0031536","positive regulation of exit from mitosis",5,5,5,"0.02973"
"363","GO:0048563","post-embryonic animal organ morphogenesis",8,8,8,"0.02981"
"364","GO:0048469","cell maturation",130,130,130,"0.02987"
"365","GO:1901388","regulation of transforming growth factor beta activation",6,6,6,"0.02989"
"366","GO:0032720","negative regulation of tumor necrosis factor production",44,44,44,"0.02993"
"367","GO:0051154","negative regulation of striated muscle cell differentiation",30,30,30,"0.03019"
"368","GO:0003215","cardiac right ventricle morphogenesis",9,9,9,"0.03051"
"369","GO:0010917","negative regulation of mitochondrial membrane potential",12,12,12,"0.03080"
"370","GO:0007596","blood coagulation",122,122,122,"0.03096"
