seqnames,start,end,width,strand,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS
chr12,111442236,111444064,1829,*,4774.18154860458,-4.68759464130338,0.180330733330521,-25.9944300936862,5.72494406862751e-149,2.83274028058718e-146,Promoter (<=1kb),12,111442469,111455018,12550,1,21928,ENSMUST00000102745.9,0
chr5,73191773,73192293,521,*,1397.75993372301,-6.31702522224957,0.243334826406307,-25.9602183359556,1.39415809962778e-148,6.72083659495993e-146,Promoter (<=1kb),5,73148038,73191879,43842,2,72313,ENSMUST00000176910.2,0
chr11,116579947,116581129,1183,*,1888.25784639262,-5.25671333332833,0.202521008091961,-25.9563853787522,1.54023500211743e-148,7.37665490853672e-146,Promoter (<=1kb),11,116537740,116581447,43708,2,217342,ENSMUST00000082152.4,318
chr11,32255929,32256824,896,*,1393.1754340961,-7.49049539079039,0.289489906378785,-25.874806774746,1.27972679743674e-147,5.93846279681006e-145,Promoter (<=1kb),11,32231263,32256413,25151,2,17168,ENSMUST00000109390.7,0
chr17,84776167,84777221,1055,*,2545.78750400785,-5.14092801158432,0.199030095284012,-25.8299027805233,4.09289435720078e-147,1.85131120520657e-144,Promoter (<=1kb),17,84770437,84777543,7107,2,72416,ENSMUST00000159222.1,322
chr6,116349820,116351036,1217,*,2127.39278454724,-6.38792683613396,0.247359771424215,-25.824437010733,4.71443345288253e-147,2.1217319600008e-144,Promoter (<=1kb),6,116350892,116403428,52537,1,71779,ENSMUST00000140884.7,0
chr11,101315539,101316935,1397,*,3103.81071113627,-4.71784696445087,0.182717488076313,-25.8204456186506,5.22706716205865e-147,2.34068067516986e-144,Promoter (<=1kb),11,101316213,101320008,3796,1,19192,ENSMUST00000142640.7,0
chr11,121433232,121435317,2086,*,3657.53813601187,-4.74897953474184,0.183965293616414,-25.8145405657001,6.0892934334391e-147,2.69978772227132e-144,Promoter (<=1kb),11,121434913,121450491,15579,1,63828,ENSMUST00000026175.8,0
chr9,108094141,108095513,1373,*,3795.34617151882,-4.63263562962375,0.179505551332471,-25.8077568923951,7.25643376481165e-147,3.20140989151001e-144,Promoter (<=1kb),9,108085413,108094441,9029,2,235606,ENSMUST00000081309.12,0
chr9,66349508,66350711,1204,*,2131.76540543285,-5.02590127309233,0.194792511263257,-25.8013064285616,8.57275300287739e-147,3.76360666145931e-144,Promoter (<=1kb),9,66350450,66374070,23621,1,235439,ENSMUST00000144280.1,0
chr7,115845850,115846457,608,*,1096.99802146009,-6.88393998802253,0.267783049151692,-25.707153644826,9.72287306026839e-146,4.10745524187565e-143,Promoter (<=1kb),7,115476658,115846105,369448,2,20679,ENSMUST00000166207.2,0
chr11,121549019,121549862,844,*,1499.08772347173,-5.56439482509472,0.216689286980845,-25.6791413300769,1.99912100048214e-145,8.36641480388693e-143,Promoter (<=1kb),11,121550111,121590383,40273,1,108903,ENSMUST00000147470.1,-249
chr11,117781512,117782259,748,*,1302.12512658325,-5.41137727025266,0.210845712935373,-25.6651045682456,2.86797493608622e-145,1.18366744366766e-142,Promoter (<=1kb),11,117778938,117782198,3261,2,217353,ENSMUST00000152304.1,0
chr15,103251576,103252158,583,*,1192.24643216091,-5.93001843424586,0.231499928995343,-25.6156382422266,1.02150749587728e-144,4.13964757152801e-142,Promoter (<=1kb),15,103248220,103251676,3457,2,18022,ENSMUST00000149111.7,0
chr10,93666128,93666828,701,*,1298.85540270372,-6.3791499742999,0.249099652619992,-25.6088272593116,1.21651361525284e-144,4.88569324583159e-142,Promoter (<=1kb),10,93665383,93665846,464,2,667338,ENSMUST00000160295.1,-282
chr9,66068855,66070529,1675,*,2749.39657544426,-4.88943477383991,0.191627890325354,-25.5152564980934,1.33497573975716e-143,5.17577607154334e-141,Promoter (<=1kb),9,66065176,66069719,4544,2,382083,ENSMUST00000044711.6,0
chr15,80096938,80098553,1616,*,2215.82648276584,-5.35324641292092,0.209945264598234,-25.4982955827333,2.05894623887702e-143,7.88030876725751e-141,Promoter (<=1kb),15,80097870,80111662,13793,1,20972,ENSMUST00000143928.1,0
chr13,107063207,107064823,1617,*,2452.13953000333,-6.10610570426179,0.23976472464895,-25.4670728281735,4.56790840551798e-143,1.73348252880589e-140,Exon (ENSMUST00000224811.1/ENSMUST00000224811.1, exon 1 of 2),13,107032880,107055497,22618,1,100040322,ENSMUST00000224838.1,30327
chr11,69088683,69089829,1147,*,1014.78731405699,-5.86311644145813,0.230882809876468,-25.3943394252484,2.91241726082286e-142,1.07339954682838e-139,Promoter (<=1kb),11,69089606,69090176,571,1,22318,ENSMUST00000146847.1,0
chr11,120950593,120951478,886,*,2883.3477533947,-4.70627171223882,0.185369815610308,-25.3885547479453,3.37397595133694e-142,1.23841510738417e-139,Promoter (<=1kb),11,120950688,120955273,4586,1,80879,ENSMUST00000133029.1,0
chr17,48450625,48451066,442,*,1374.84106647237,-5.6590067697567,0.222974288205449,-25.3796382322902,4.23244454241637e-142,1.54088509438541e-139,Promoter (<=1kb),17,48447907,48451492,3586,2,70026,ENSMUST00000159478.2,426
chr19,10014754,10015234,481,*,1057.6825779596,-6.08851668513182,0.241137613998219,-25.2491371386663,1.15754812603298e-140,4.01821744835325e-138,Promoter (<=1kb),19,10015016,10027576,12561,1,74760,ENSMUST00000137637.7,0
chr19,4045905,4046442,538,*,1052.79721136864,-5.63422244866491,0.223298269237571,-25.2318231928192,1.79319727409959e-140,6.15320873058849e-138,Promoter (<=1kb),19,4040708,4046023,5316,2,14869,ENSMUST00000235381.1,0
chr11,120629398,120630364,967,*,1943.22885757135,-4.92060173124693,0.195552986325549,-25.1624985314993,1.03142614778007e-139,3.37133305821836e-137,Promoter (<=1kb),11,120629232,120630148,917,2,17134,ENSMUST00000106180.1,0
chr7,90146247,90146778,532,*,1232.46152381606,-5.26554098022397,0.209631035938525,-25.1181365232967,3.15180865115209e-139,1.0190468693039e-136,Exon (ENSMUST00000207029.1/ENSMUST00000207029.1, exon 1 of 1),7,90131645,90165572,33928,1,233489,ENSMUST00000208684.1,14602
chr13,97743097,97744136,1040,*,1132.83637662253,-6.35503913823363,0.25318321268235,-25.1005549337382,4.90441917441133e-139,1.56313089416469e-136,Promoter (<=1kb),13,97735347,97743121,7775,2,403201,ENSMUST00000125960.1,0
chr4,156202462,156203393,932,*,2288.79542216909,-4.77881789425669,0.191110057482256,-25.0055803300692,5.31607741853702e-138,1.60847261352762e-135,Promoter (<=1kb),4,156203284,156206028,2745,1,100382,ENSMUST00000238578.1,0
chr1,132390172,132390603,432,*,1156.77526465607,-5.31287589570042,0.212470354042054,-25.0052574141655,5.35924562911494e-138,1.61607420385028e-135,Promoter (<=1kb),1,132356323,132390318,33996,2,68875,ENSMUST00000132435.1,0
chr18,77806146,77807348,1203,*,1248.45847381252,-5.29261560182271,0.212867018387254,-24.8634835115426,1.84848022332093e-136,5.35760157930818e-134,Exon (ENSMUST00000157213.1/ENSMUST00000157213.1, exon 1 of 1),18,77793259,77796743,3485,2,619308,ENSMUST00000143732.7,-9403
chr13,59795679,59796696,1018,*,1524.98909620395,-5.68500723740828,0.229242889791149,-24.7990558947655,9.17763547797609e-136,2.58474538807402e-133,Exon (ENSMUST00000225944.1/ENSMUST00000225944.1, exon 1 of 1),13,59771880,59785374,13495,2,214290,ENSMUST00000224320.1,-10305
chr7,100457853,100458552,700,*,1105.64362287024,-6.5889468697534,0.266472702418154,-24.7265360014772,5.54501283048066e-135,1.52803492030107e-132,Exon (ENSMUST00000193553.1/ENSMUST00000193553.1, exon 1 of 1),7,100464211,100470152,5942,1,277939,ENSMUST00000151573.2,-5659
chr19,36450955,36451589,635,*,1011.67870803164,-5.74069061911627,0.232182787328208,-24.7248759702474,5.77773246608643e-135,1.58728134865859e-132,Exon (ENSMUST00000224716.1/ENSMUST00000224716.1, exon 1 of 2),19,36439654,36446290,6637,1,76073,ENSMUST00000225185.1,11301
chr11,95339675,95340022,348,*,947.89452357202,-5.82664079118298,0.235939125724704,-24.6955259043451,1.19465345091234e-134,3.26600204481756e-132,Promoter (<=1kb),11,95339931,95375632,35702,1,215512,ENSMUST00000129553.7,0
chr1,188972982,188973678,697,*,925.140486942182,-6.2096431946919,0.251448611548322,-24.6954761708778,1.19612401820027e-134,3.26600204481756e-132,Promoter (<=1kb),1,188972364,188974240,1877,2,226823,ENSMUST00000195745.1,562
chr4,132075153,132075728,576,*,3827.96316295232,-4.45618347812222,0.180629068974218,-24.6703562357301,2.22583914917739e-134,6.05915362311023e-132,Promoter (<=1kb),4,131923413,132075292,151880,2,269587,ENSMUST00000105970.7,0
chr5,134919072,134919704,633,*,2139.54092455905,-5.79175349364548,0.235539170673568,-24.5893431529155,1.64241450910724e-133,4.35191252768179e-131,Distal Intergenic,5,134914249,134915526,1278,2,57255,ENSMUST00000008987.4,-3546
chr19,4096674,4097839,1166,*,4712.14932674073,-4.37324076609824,0.178596700243535,-24.486682901391,2.04793273694064e-132,5.19583161247602e-130,Promoter (<=1kb),19,4097182,4099017,1836,1,52004,ENSMUST00000025779.10,0
chr7,96777987,96779044,1058,*,1402.77002665117,-5.40446125934379,0.221378602760824,-24.4127534998616,1.25208793544998e-131,3.10628796395845e-129,Promoter (<=1kb),7,96777934,96797733,19800,1,23966,ENSMUST00000140140.1,53
chr12,32122929,32123991,1063,*,1510.38423878962,-5.41201203046979,0.221894370558041,-24.3900375519178,2.18156206553437e-131,5.38238839088866e-129,Exon (ENSMUST00000218145.1/ENSMUST00000218145.1, exon 1 of 2),12,31958476,32061296,102821,2,19088,ENSMUST00000036497.15,-61633
chr15,83423594,83423977,384,*,975.652922095682,-6.16597320792064,0.253207534784455,-24.3514602089921,5.59446407935647e-131,1.35416271066801e-128,Promoter (<=1kb),15,83388550,83423790,35241,2,23970,ENSMUST00000230816.1,0
chr2,132689735,132690355,621,*,1698.48918271759,-6.08273746709383,0.2503178763758,-24.3000522182518,1.95783043969806e-130,4.67582117811623e-128,Promoter (<=1kb),2,132690157,132750503,60347,1,73747,ENSMUST00000148271.7,0
chr7,78913414,78914591,1178,*,3049.50232794868,-4.3866422934653,0.180784231127377,-24.2645183493606,4.64661467399812e-130,1.09802324591892e-127,Promoter (<=1kb),7,78913424,78920217,6794,1,57444,ENSMUST00000118867.7,0
chr11,69948039,69949226,1188,*,2382.83015928736,-4.76978535025461,0.196811444371681,-24.2353048395235,9.4476362776434e-130,2.20921750659463e-127,Promoter (<=1kb),11,69942539,69948175,5637,2,20528,ENSMUST00000178809.7,0
chr14,47115986,47116967,982,*,1527.62083761816,-4.76183577089258,0.196935566580665,-24.1796637020471,3.64152365362693e-129,8.27753447763523e-127,Promoter (<=1kb),14,47097679,47116161,18483,2,100038654,ENSMUST00000127429.1,0
chr11,117797297,117798697,1401,*,1257.82397588569,-5.2291363859958,0.216281682964588,-24.1774352516573,3.84346664701939e-129,8.71445247865967e-127,Promoter (<=1kb),11,117797660,117807301,9642,1,77727,ENSMUST00000106331.1,0
chr11,116549227,116550323,1097,*,1655.38190859521,-4.74599598234204,0.196300801764527,-24.1771604582395,3.86913056470829e-129,8.75048821654733e-127,Promoter (<=1kb),11,116545751,116548841,3091,2,217342,ENSMUST00000147851.1,-386
chr11,69394976,69396414,1439,*,3657.56166404791,-4.32717695433421,0.179202886959872,-24.1468038140657,8.06681416084268e-129,1.80615969061268e-126,Promoter (<=1kb),11,69391925,69395631,3707,2,327951,ENSMUST00000134903.1,0
chr11,78176168,78177264,1097,*,2340.62664571752,-4.43256789079266,0.183622816964968,-24.1395266887682,9.61911108346438e-129,2.1376863241565e-126,Promoter (<=1kb),11,78166106,78176611,10506,2,140859,ENSMUST00000152611.7,0
chr11,53479802,53480426,625,*,787.705930181665,-6.17627752988955,0.256021757513718,-24.1240337925522,1.39888817048467e-128,3.06318886426911e-126,Promoter (<=1kb),11,53476573,53480274,3702,2,237761,ENSMUST00000104955.3,0
chr11,85297836,85298416,581,*,842.570323808562,-6.05626695626006,0.25117652361394,-24.1115963750202,1.88920296680155e-128,4.09678008975173e-126,Distal Intergenic,11,85311244,85347066,35823,1,53892,ENSMUST00000020835.15,-12828
chr19,5509810,5510915,1106,*,3105.65837487899,-4.33144981775898,0.179781083265746,-24.0929119965107,2.96614531552034e-128,6.35521469995219e-126,Promoter (<=1kb),19,5492235,5510496,18262,2,225861,ENSMUST00000237945.1,0
chr9,96258439,96258919,481,*,1595.81797424495,-5.25491873900271,0.218178568359769,-24.0854029729332,3.55537285840149e-128,7.5995034176238e-126,Promoter (<=1kb),9,96258705,96310582,51878,1,211586,ENSMUST00000186609.6,0
chr9,44343199,44344344,1146,*,3098.85828642852,-4.36889869334545,0.181441439386766,-24.0788361694628,4.16565796679543e-128,8.84067126791941e-126,Promoter (<=1kb),9,44336339,44344228,7890,2,15288,ENSMUST00000077353.14,0
chr11,96943603,96944365,763,*,2944.33028056254,-4.36215235334333,0.181323219313113,-24.0573290606023,6.99642739731857e-128,1.47435302989141e-125,Promoter (<=1kb),11,96937825,96943779,5955,2,103711,ENSMUST00000153896.1,0
chr11,101551735,101553248,1514,*,6910.19434345291,-4.14438508167268,0.172277468308421,-24.0564545228466,7.14544103214007e-128,1.50221995032503e-125,Promoter (<=1kb),11,101488764,101551879,63116,2,12189,ENSMUST00000017290.10,0
chr5,96920705,96921476,772,*,1946.49123776936,-4.64101985402787,0.19308308904098,-24.0363870138977,1.158670093928e-127,2.41326729330679e-125,Promoter (<=1kb),5,96921272,96934867,13596,1,666266,ENSMUST00000200139.1,0
chr11,69916145,69916569,425,*,871.759094298317,-5.84321749828148,0.24354291728096,-23.9925577122842,3.32553071324988e-127,6.81543548463752e-125,Promoter (<=1kb),11,69916041,69916556,516,1,56310,ENSMUST00000134581.1,104
chr17,71268082,71269124,1043,*,1221.16707982345,-5.2682880572615,0.219878940040039,-23.9599483984331,7.27783779123566e-127,1.48474522228489e-124,Promoter (<=1kb),17,71253017,71268597,15581,2,246707,ENSMUST00000233148.1,0
chr5,64811271,64811920,650,*,925.039798173396,-5.41537929054664,0.226144419900091,-23.9465527955062,1.00368101742915e-126,2.03370298463699e-124,Promoter (<=1kb),5,64812339,64829482,17144,1,16599,ENSMUST00000166409.5,-419
chr11,85352360,85353647,1288,*,4916.05378818456,-4.20675954840623,0.175782350884628,-23.9316377738472,1.43526179548167e-126,2.88858531243456e-124,Promoter (<=1kb),11,85353167,85510991,157825,1,192197,ENSMUST00000108056.7,0
chr17,36869250,36870370,1121,*,2638.60794195448,-5.08116132066851,0.212395585326438,-23.9231023227676,1.7610912633142e-126,3.50496296760932e-124,Promoter (<=1kb),17,36869574,36877833,8260,1,19824,ENSMUST00000060524.10,0
chr1,154033660,154034890,1231,*,3199.22246192189,-4.29430844415584,0.17952253126145,-23.9207213377677,1.86449558520211e-126,3.69434125244914e-124,Exon (ENSMUST00000188704.1/ENSMUST00000188704.1, exon 1 of 3),1,153906043,153907116,1074,1,14645,ENSMUST00000154576.1,127617
chr9,113968438,113969384,947,*,2521.69553139825,-5.47410366790489,0.229576220833966,-23.8443844402504,1.15801888785095e-125,2.20240247917422e-123,Promoter (<=1kb),9,113969225,113977001,7777,1,22221,ENSMUST00000216293.1,0
chr19,6014454,6016008,1555,*,1719.61682487026,-4.5634444157382,0.191988109024554,-23.769411756405,6.92207735747546e-125,1.30037471928575e-122,Promoter (<=1kb),19,5988545,6015206,26662,2,12333,ENSMUST00000025891.9,0
chr8,84970963,84971367,405,*,1175.10443568075,-6.69933961973992,0.281847364607985,-23.769388899761,6.9258457023147e-125,1.30037471928575e-122,Promoter (<=1kb),8,84971456,84974311,2856,1,21672,ENSMUST00000127215.1,-89
chr7,141614023,141615022,1000,*,1534.13749191334,-6.17725753177863,0.260102611985221,-23.7493098767098,1.11692763262746e-124,2.08400080787741e-122,Promoter (<=1kb),7,141610066,141613747,3682,2,100036523,ENSMUST00000181275.1,-276
chr11,116086535,116087998,1464,*,4366.931894985,-4.32044204233318,0.182109014567602,-23.7244820229882,2.01568722419944e-124,3.72216387215055e-122,Promoter (<=1kb),11,116078573,116086995,8423,2,22378,ENSMUST00000074628.12,0
chr11,54027959,54028828,870,*,1512.33964893783,-4.78862423730351,0.201902934434398,-23.7174573550313,2.38187316262063e-124,4.38029898242923e-122,Promoter (<=1kb),11,53983123,54028090,44968,2,30805,ENSMUST00000020586.6,0
chr11,116307678,116308314,637,*,886.685839562032,-6.2145035062433,0.262085246514336,-23.7117639733428,2.72683823986148e-124,4.99418471905919e-122,Promoter (<=1kb),11,116305031,116307233,2203,2,53413,ENSMUST00000124281.1,-445
chr11,31824381,31825173,793,*,1307.9114441196,-4.73618627844892,0.200093331745503,-23.6698856335344,7.36719218925489e-124,1.33834834172347e-121,Promoter (<=1kb),11,31790113,31824473,34361,2,414116,ENSMUST00000129425.7,0
chr8,107436860,107437508,649,*,1365.87768234975,-4.77832827030882,0.202067994496933,-23.6471306710641,1.26333927026984e-123,2.28114244043079e-121,Promoter (<=1kb),8,107436416,107483590,47175,1,66894,ENSMUST00000212645.1,444
chr17,48272046,48272933,888,*,1352.58918194015,-4.80174256678291,0.203164618811168,-23.6347381491947,1.69426931432366e-123,3.04085690963582e-121,Promoter (<=1kb),17,48272439,48274512,2074,1,224840,ENSMUST00000153131.1,0
chr10,80123870,80124595,726,*,794.491510841947,-6.30969002538305,0.267007908563459,-23.6310978926807,1.84676403135989e-123,3.30780664699532e-121,Promoter (<=1kb),10,80124819,80129975,5157,1,20869,ENSMUST00000144119.7,-224
chr11,101009813,101010898,1086,*,1154.61623589206,-4.9646530307521,0.210251428482636,-23.6129336508271,2.83850403469068e-123,5.00426026273421e-121,Promoter (<=1kb),11,101010657,101020515,9859,1,11975,ENSMUST00000139619.7,0
chr1,134098423,134099799,1377,*,2398.11448750091,-4.41254502249027,0.186964705694702,-23.600951880702,3.76834485313357e-123,6.63051011879455e-121,Exon (ENSMUST00000193617.1/ENSMUST00000193617.1, exon 1 of 1),1,134111242,134151540,40299,1,71884,ENSMUST00000159963.7,-11443
chr7,120874859,120876316,1458,*,2171.27937130566,-4.77288787378422,0.203052563568748,-23.5056765100543,3.56845299412792e-122,6.19361725104838e-120,Promoter (<=1kb),7,120876220,120880327,4108,1,13631,ENSMUST00000125828.2,0
chr10,80114924,80115944,1021,*,5186.55631754675,-4.1108403765531,0.175300394009564,-23.450263188392,1.31375718126723e-121,2.23688390027173e-119,Promoter (<=1kb),10,80115803,80130469,14667,1,20869,ENSMUST00000144883.7,0
chr1,132367596,132368380,785,*,3230.95725208077,-4.19932933043095,0.179109057154208,-23.4456559436603,1.46391942632112e-121,2.48782967402884e-119,Promoter (<=1kb),1,132356316,132367886,11571,2,68875,ENSMUST00000138717.1,0
chr6,39419881,39420709,829,*,1675.2829858199,-4.69479144441335,0.200328370911985,-23.4354795730657,1.85909507547757e-121,3.14151990490134e-119,Promoter (<=1kb),6,39397804,39420462,22659,2,54484,ENSMUST00000031985.12,0
chr7,80185995,80187291,1297,*,1056.19294904805,-5.02515185018742,0.214566816413909,-23.419986063892,2.67440409672004e-121,4.49380170548305e-119,Promoter (<=1kb),7,80186841,80226527,39687,1,20352,ENSMUST00000032754.8,0
chr19,53325547,53326312,766,*,1785.04891647757,-4.49692470987193,0.192338660032043,-23.3802435200638,6.78964677930974e-121,1.13026164601297e-118,Exon (ENSMUST00000236942.1/ENSMUST00000236942.1, exon 1 of 3),19,53329413,53373154,43742,1,17859,ENSMUST00000111737.2,-3101
chr10,80421545,80422134,590,*,1392.28969837339,-6.45998154349602,0.276702130060739,-23.3463383244574,1.50139807317439e-120,2.48090796002764e-118,Promoter (<=1kb),10,80420083,80421860,1778,2,21423,ENSMUST00000156244.1,0
